Gene ID,Log2Ratio,p-value,Max RPKM
NM_207293,-0.07,0.895,13891.0
NM_207296,0.53,0.543,1419.6
NM_207295,1.04,0.162,11755.29
NM_207292,1.71,0.0024,60244.94
NM_207297,2.71,0.0237,41138.54
NM_021038,2.87,0.0826,12653.24
NM_207294,3.22,0.117,18113.86
NR_027037,1.53,0.063,5347.69
NR_027038,1.55,0.00639,5292.37
NM_144778,0.44,0.314,12094.16
NM_207304,1.05,0.103,40747.59
NM_133486,-1.69,0.228,833.1
NM_018388,-0.98,0.521,939.51
NM_001080480,-0.96,0.235,18668.91
NM_138799,0.23,0.525,22381.32
NM_001100916,-0.89,0.0972,60.54
NM_024298,-1.15,0.245,22490.47
NM_001146082,-0.62,0.198,5944.87
NM_001146056,0.94,0.182,1986.96
NM_001146083,1.5,0.00873,4990.6
NM_001025101,-0.15,0.857,751.16
NM_001025081,0.8,0.471,927.66
NM_002385,1.23,0.173,1480.03
NM_001025092,1.28,0.216,1569.05
NM_001025100,1.47,0.351,28588.43
NM_017643,-1.95,0.0101,45872.58
NM_003791,-0.89,0.0222,168166.49
NM_015884,-0.64,0.154,44677.72
NM_002386,-0.8,0.385,10344.45
NM_000529,-0.6,0.426,54.49
NM_019888,-1.36,0.347,2.57
NM_005912,2.89,0.347,18.13
NM_005913,1.09,0.551,108.33
NM_006500,4.64,0.0155,46294.7
NM_173467,0.16,0.671,6661.89
NM_014507,0.22,0.686,1132.21
NM_002387,-1.08,0.194,2472.9
NM_001085377,-1.08,0.381,3344.93
NM_020166,-1.86,0.145,35817.64
NM_022132,-1.55,0.0159,123836.49
NM_001011700,-4.73,0.319,46.55
NM_032601,-1.57,0.0022,5390.77
NM_005369,-1.25,0.404,8.57
NM_001099855,-1.03,0.49,7.92
NM_024979,-5.72,0.0179,2139.23
NM_001112732,-4.19,0.017,997.99
NM_015078,-0.47,0.144,743.39
NM_139279,0.96,0.0415,105347.91
NM_005297,-9.75,0.306,1111.53
NM_032503,-0.33,0.795,3.31
NM_001040179,0.12,0.918,3.99
NM_182763,-0.38,0.53,7129.89
NM_021960,0.01,0.995,109721.01
NM_018518,0.88,0.317,8920.89
NM_182751,1.26,0.244,10260.72
NM_004526,0.87,0.151,90601.25
NM_002388,0.93,0.0976,123828.4
NM_003906,-0.05,0.893,56849.97
NR_002776,-1.76,0.25,2774.53
NM_005914,0.41,0.631,30170.02
NM_182746,0.56,0.407,101582.9
NM_006739,1.23,0.129,46028.07
NM_005915,0.26,0.68,49295.77
NM_182776,-0.69,0.521,7960.95
NM_005916,1.08,0.16,56384.74
NM_032485,0.7,0.188,2936.48
NM_182802,1.18,0.109,2204.28
NM_153255,-0.95,0.176,3903.89
NM_024834,0.6,0.285,72551.32
NM_173518,-0.7,0.566,763.97
NM_001136160,1.24,0.556,43.29
NM_001136161,1.92,0.469,111.84
NM_020533,0.86,0.161,7879.73
NM_153259,0.14,0.867,3039.05
NM_018298,-2.73,0.0653,2317.75
NM_006337,-0.31,0.546,9903.72
NM_001012300,-0.23,0.0908,192.58
NM_024717,1.09,0.0474,110.36
NM_001002796,7.26,0.0487,8685.42
NM_001159643,-2.48,0.414,450.63
NM_001159644,-0.53,0.781,63.91
NM_018349,-0.32,0.849,380.25
NM_014060,-0.13,0.742,24462.16
NM_001137554,1.54,0.0568,528.44
NM_138357,1.04,0.0149,23855.74
NM_001031713,0.7,0.202,7494.26
NM_014641,0.44,0.255,56305.61
NM_005586,-2.58,0.213,473.42
NM_199072,1.33,0.103,43332.04
NM_153487,-1.04,0.392,4667.29
NM_001113498,0.8,0.642,1512.53
NM_182830,1.68,0.463,986.5
NM_005917,0.11,0.805,56664.26
NM_001039845,-0.21,0.798,165.24
NM_005918,-0.21,0.32,111963.4
NM_001012333,-0.34,0.54,310.96
NM_002391,-0.28,0.844,62247.77
NM_001012334,0.26,0.83,2114.56
NM_020128,-1.17,0.0371,662.89
NM_017440,-0.64,0.094,3358.41
NM_002392,-3.03,0.0163,113933.55
NM_001145339,-1.53,0.017,10783.55
NM_001145340,-1.52,0.111,11093.03
NM_001145337,-1.12,0.152,1369.3
NM_001145336,-1.05,0.358,8955.17
NM_006879,-0.21,0.714,1523.07
NM_006881,0.77,0.268,1577.62
NM_002393,-3.76,0.0433,35544.09
NM_014611,-0.01,0.988,36063.1
NM_138476,-0.15,0.898,129.23
NR_027042,-0.5,0.234,44.23
NM_002395,0.12,0.889,38809.87
NM_002396,1.68,0.0151,38257.29
NM_001161586,2.63,0.306,802.47
NM_001014811,3.22,0.0886,1538.44
NM_006680,3.92,0.206,2593.61
NM_014623,0.61,0.0383,27099.93
NM_022756,-0.19,0.848,272.32
NM_001105077,0.09,0.929,777.65
NM_001163999,0.73,0.572,1524.83
NM_005241,1.06,0.365,366.15
NM_004991,1.09,0.345,1753.01
NM_001105078,2.36,0.373,1220.72
NM_001164000,3.21,0.164,4051.67
NM_001110792,-0.65,0.0382,391.83
NM_004992,-0.37,0.352,76632.75
NM_016011,-0.58,0.559,579.67
NM_001024732,0.64,0.0461,5599.53
NM_004774,-0.29,0.638,41669.53
NM_032286,1.11,0.0356,17681.3
NM_001001683,-0.2,0.674,3304.1
NM_005120,-0.88,0.0932,8592.33
NM_053002,-2.1,0.181,2402.94
NM_005121,-1.49,0.0139,184335.71
NM_015335,-1.55,0.134,240070.47
NM_004229,-0.43,0.302,63216.94
NM_001003891,-0.9,0.303,2745.62
NM_015889,0.47,0.301,13983.99
NM_005481,-0.07,0.861,877.13
NM_004268,0.65,0.237,21192.4
NM_001127350,-0.38,0.509,486.04
NM_017638,-0.14,0.669,10026.72
NM_153450,-0.04,0.934,3303.24
NM_004275,0.56,0.096,23309.54
NM_004264,0.06,0.852,20237.97
NM_181491,-0.25,0.569,40279.58
NM_133640,1.09,0.114,228.84
NM_015979,-1.09,0.415,2448.08
NM_004830,-0.01,0.975,14093.23
NM_014815,0.08,0.901,4963.31
NM_001079518,1.04,0.075,2822.52
NM_030973,-0.57,0.248,17564.37
NM_004831,0.71,0.012,12827.18
NM_004269,0.39,0.284,7709.89
NM_025205,-0.54,0.161,15925.53
NM_017592,-0.21,0.457,24253.48
NM_080651,0.2,0.732,4697.69
NM_016060,0.96,0.157,2986.44
NM_014166,0.28,0.307,17828.25
NM_005466,0.71,0.219,1999.54
NM_004270,-0.41,0.5,4588.72
NM_001100816,0.42,0.52,3152.43
NM_201542,0.99,0.145,4298.66
NM_052877,1.06,0.102,8762.38
NM_018019,0.03,0.892,9132.65
NM_032849,6.84,0.341,1072.81
NM_001130927,-0.73,0.132,839.35
NM_001130928,0.1,0.896,1300.88
NM_005587,0.94,0.122,13719.66
NM_001130926,1.1,0.166,8054.2
NM_001145785,1.38,0.0448,1285.27
NM_001145784,-0.52,0.221,3702.95
NM_001145783,0.57,0.362,1455.82
NM_005919,-0.97,0.333,1115.84
NR_027308,0.65,0.14,1825.77
NR_027307,0.8,0.156,1823.19
NM_002397,5.75,0.184,1808.92
NM_001131005,6.41,0.0387,1631.62
NM_005920,-0.2,0.346,1226.08
NM_000243,-0.13,0.867,453.72
NR_003531,1.17,0.587,287.66
NR_003530,1.63,0.357,1103.69
NR_002766,1.85,0.386,129.79
NR_024149,-1.03,0.658,3.63
NM_032446,-1.52,0.142,62.87
NM_032445,0.23,0.746,81.23
NM_001409,1.07,0.519,22263.95
NM_001410,-0.13,0.731,24527.11
NM_001080497,0.01,0.966,736.93
NM_152513,-0.59,0.347,1.51
NM_001080836,-1.2,0.365,67.18
NM_001163560,1.37,0.583,872.66
NM_152764,3.03,0.409,420.98
NM_002398,0.44,0.602,1711.91
NM_172315,0.81,0.338,480.08
NM_002399,1.39,0.204,689.78
NM_170677,1.42,0.126,892.96
NM_172316,1.6,0.028,198.19
NM_170676,2.28,0.0076,1637.67
NM_170674,2.36,0.00849,1102.08
NM_170675,2.84,0.0164,1981.68
NM_020160,-3.85,0.0577,1292.29
NM_001009813,-2.9,0.0109,1505.48
NR_002211,-1.76,0.0201,12329.45
NM_014791,1.31,0.149,17487.97
NM_015955,-0.35,0.386,2671.95
NM_001137602,0.17,0.508,4123.48
NM_130799,-1.47,0.166,2059.06
NM_000244,-0.81,0.396,8524.86
NM_130804,-0.57,0.561,4299.74
NM_130803,-0.24,0.774,3621.63
NM_130800,0.35,0.757,3893.54
NM_130802,0.58,0.482,8424.15
NM_130801,0.73,0.49,4777.37
NM_013999,2.96,0.179,33.73
NM_001040002,4.14,0.124,40.15
NM_004527,5.24,0.322,128.62
NM_005924,-0.73,0.442,21.09
NM_005588,0.06,0.979,0.6
NM_005925,-0.85,0.567,18.03
NM_019606,-0.12,0.741,33440.74
NM_020203,-7.56,0.238,170.44
NM_006343,3.54,0.306,6464.57
NM_022566,-0.22,0.565,24392.84
NM_015154,-0.05,0.873,37068.16
NM_018670,0.73,0.481,457.75
NM_001039958,2.8,0.347,254.17
NM_177524,-1.11,0.171,12512.5
NM_002402,-0.65,0.565,1963.67
NM_177525,2.16,0.239,8296.08
NR_004382,-1.58,0.0279,161.67
NM_000245,1.68,0.212,3800.11
NM_001127500,3.22,0.0293,1687.01
NM_015143,0.64,0.0622,41376.72
NM_199227,0.58,0.469,1166.45
NM_006838,0.42,0.441,55707.76
NM_024042,-1.31,0.00753,14946.55
NM_001004431,-0.43,0.488,18411.09
NM_023033,-0.44,0.525,694.77
NM_005371,-0.17,0.611,9821.51
NM_212554,-0.54,0.155,13733.1
NM_001136107,1.99,0.347,3.98
NM_001043229,-0.55,0.337,1941.26
NM_015935,-0.27,0.508,45280.62
NM_014955,0.25,0.663,1202.22
NM_001007239,0.48,0.554,1127.07
NM_020961,-0.2,0.435,3537.41
NM_001113528,-0.06,0.907,7807.26
NM_152636,0.83,0.321,2079.83
NM_024086,0.75,0.0564,27210.37
NM_022734,0.69,0.373,4105.66
NM_001029991,1.04,0.132,5663.39
NM_033418,-0.62,0.277,4338.52
NM_001135863,-2.7,0.164,1164.05
NM_173802,-0.92,0.144,871.8
NM_001135864,-0.42,0.163,109.59
NM_001127395,-0.11,0.795,15485.79
NM_145280,0.1,0.705,2000.79
NM_015433,-0.09,0.912,10806.77
NM_206914,0.2,0.679,2156.53
NM_001010977,0.12,0.347,0.92
NR_026965,-1.51,0.349,46.2
NM_024109,-0.46,0.203,6580.93
NM_001080510,-1.17,0.0274,442.17
NM_032230,-0.84,0.0215,2169.74
NM_181725,-0.8,0.0772,9367.17
NM_018396,0.13,0.604,14330.25
NM_019852,0.72,0.233,15960.26
NM_022840,0.8,0.00774,13289.56
NM_014168,0.44,0.364,7010.3
NM_152396,0.24,0.618,8120.89
NM_014033,-4.73,0.00665,114917.6
NM_152637,-2.11,0.0227,1611.94
NM_024770,-0.06,0.953,2582.55
NM_001077180,-0.06,0.821,45912.3
NM_016025,0.48,0.224,5568.22
NM_001093725,0.36,0.668,18705.64
NM_032246,1.5,0.244,20431.84
NM_016626,0.82,0.0107,58498.54
NM_203304,0.24,0.587,32567.43
NM_005926,0.15,0.648,19263.63
NM_001135248,1.58,0.329,1406.71
NM_002403,1.88,0.342,2637.25
NM_001135247,3.67,0.104,1352.0
NM_017459,4.05,0.112,1701.58
NM_001135037,-0.13,0.671,386.22
NR_024152,0.0,0.993,49831.35
NM_005927,0.13,0.771,1601.09
NM_021647,-3.07,0.214,43212.8
NM_001009554,-0.78,0.188,316.23
NM_002404,1.88,0.178,1964.53
NM_003480,5.22,0.281,607.95
NM_020194,0.04,0.921,3142.87
NM_005928,3.53,0.123,35069.12
NM_001114614,3.6,0.182,9470.24
NM_004225,1.02,0.131,33383.49
NM_005929,0.35,0.716,985.38
NM_033316,0.39,0.735,1084.47
NM_033540,-0.87,0.171,33570.66
NM_014874,0.57,0.101,103785.32
NM_001127660,0.78,0.267,10795.09
NM_002405,0.43,0.782,367.28
NM_031433,7.7,0.224,603.57
NM_022736,0.09,0.894,17238.79
NM_001146069,-2.88,0.105,7651.77
NM_001120,-0.05,0.901,18731.23
NM_024311,-2.02,0.0595,1666.94
NM_021731,-0.03,0.954,3890.79
NM_174983,0.47,0.551,2545.79
NM_001042680,1.58,0.0103,10653.7
NM_001136493,0.47,0.353,227.74
NM_032793,4.04,0.000254,3999.86
NM_001080473,-1.34,0.416,28.89
NM_138431,-1.3,0.0775,12511.95
NM_181644,-1.34,0.055,429.36
NM_032889,-0.13,0.771,29274.57
NM_017694,-2.66,0.0152,52393.32
NM_152599,-4.43,0.121,21.56
NM_032219,-2.4,0.201,2888.56
NM_152778,-0.91,0.0146,11711.76
NM_032718,-0.93,0.0485,5614.47
NM_001164273,-0.44,0.45,28020.19
NM_001080541,-0.09,0.855,13848.63
NM_004668,3.43,0.0724,589.82
NM_032623,1.96,0.0892,262.66
NM_001114617,0.34,0.527,24732.15
NM_001114620,0.35,0.541,538.14
NM_001114618,0.89,0.32,10695.39
NM_002406,1.81,0.00257,24579.86
NM_001114619,2.05,0.00104,72206.07
NM_002408,0.77,0.13,67171.36
NM_001098270,-4.57,0.108,766.09
NM_002409,-4.15,0.197,746.4
NM_012214,-5.04,0.129,81655.42
NM_001160154,-4.55,0.219,914.66
NM_054013,0.81,0.41,33169.77
NM_014275,1.23,0.0371,77688.32
NM_013244,6.35,0.331,120.62
NR_024275,0.08,0.848,40750.19
NM_002410,0.13,0.692,8706.96
NM_144677,-2.06,0.106,5867.91
NM_198955,1.52,0.0873,2216.07
NR_026880,2.3,0.184,3138.76
NR_026897,-1.6,0.238,3.22
NR_026664,-1.4,0.24,30.96
NR_026902,-0.5,0.212,531.99
NR_026914,-1.25,0.0286,1280.94
NR_027310,3.25,0.332,22.45
NR_026877,-0.29,0.835,179.03
NR_027030,0.21,0.854,17.08
NR_027107,0.21,0.88,2780.77
NR_027295,0.46,0.746,1231.54
NR_026680,0.68,0.616,2906.64
NR_002822,0.04,0.889,1939.1
NM_012215,-0.38,0.428,59052.99
NM_001142434,-0.2,0.334,15670.68
NM_007283,0.21,0.847,11886.51
NM_001003794,1.02,0.488,49868.1
NM_052865,0.31,0.535,16479.59
NM_002412,-1.8,0.0461,15953.42
NM_000900,-3.82,0.168,257150.5
NM_001142290,-1.24,0.395,7358.05
NM_001142291,-0.26,0.838,3227.87
NM_015246,-0.12,0.918,2906.23
NM_001142289,0.56,0.669,2481.55
NM_145791,-0.51,0.51,16286.67
NM_020300,-0.51,0.583,65631.93
NM_145792,-0.22,0.789,1993.4
NM_145764,-0.18,0.833,1315.56
NM_002413,-2.02,0.0309,6077.46
NM_004528,0.34,0.535,10035.92
NM_006533,0.78,0.543,74.51
NM_054024,4.44,0.271,89.57
NM_198551,-0.03,0.95,46665.89
NR_003491,0.16,0.833,276.28
NM_020774,0.09,0.766,84251.16
NM_080875,0.14,0.769,1930.69
NM_000247,2.8,0.153,50233.07
NM_022765,-0.42,0.461,2839.54
NM_001159291,0.7,0.456,689.39
NM_014632,4.49,0.0607,1820.34
NM_015241,0.34,0.618,20848.55
NM_001136004,0.42,0.466,4495.9
NM_001122731,0.88,0.346,5027.9
NM_032867,-2.88,0.0379,3433.88
NM_033386,2.05,0.00909,66141.98
NM_182924,-1.77,0.0103,19610.48
NM_005931,-0.75,0.612,19675.22
NM_006077,0.01,0.991,31786.53
NM_152726,-0.28,0.434,10067.62
NM_181723,5.06,0.0106,3288.54
NM_033290,1.74,0.23,1713.19
NM_001098624,2.26,0.0765,2349.81
NM_000381,3.14,0.154,14158.59
NM_001098790,-0.66,0.425,9532.2
NM_021242,-0.34,0.459,34425.8
NM_001098791,1.85,0.328,2757.36
NM_052817,-6.9,0.0076,10858.55
NM_012216,-5.26,0.00132,10885.93
NM_177401,-0.31,0.191,62984.87
NM_019008,1.0,0.00386,38565.53
NM_139162,-2.22,0.0156,12022.84
NM_001144900,-1.57,0.167,4621.42
NM_148886,-0.37,0.507,1140.11
NM_032339,-1.76,0.184,33114.61
NM_001146113,-0.52,0.445,173.37
NM_001146112,-0.23,0.755,3818.34
NM_001146111,0.93,0.228,281.97
NM_020948,1.04,0.173,5413.75
NM_001077700,1.09,0.156,13721.05
NM_001077704,1.13,0.138,1980.38
NM_001077703,1.41,0.0162,2994.72
NM_001146110,1.61,0.0687,6646.8
NM_001077701,2.19,0.0147,11286.61
NM_001077702,2.92,0.00955,3449.13
NM_017550,0.82,0.105,14444.18
NM_152622,0.2,0.655,1727.57
NM_002415,0.16,0.72,50554.92
NM_020679,-0.4,0.444,2370.1
NM_021933,0.93,0.0483,11239.65
NM_001085423,8.16,0.23,490.63
NM_032778,0.17,0.823,5880.49
NM_001042533,1.22,0.104,10683.55
NM_153182,1.72,0.0298,12309.5
NM_153827,-0.46,0.196,32144.2
NM_170663,0.17,0.362,1142.29
NM_001024937,0.54,0.174,7138.58
NM_015716,1.88,0.176,8786.81
NM_001032363,0.48,0.37,19700.76
NM_005380,-1.4,0.233,54739.84
NM_182744,-0.63,0.404,1445.97
NM_004897,0.46,0.342,16469.24
NM_019005,0.66,0.476,23963.14
NM_017584,0.07,0.945,20.01
NM_012064,-1.11,0.169,58.91
NM_005932,-0.43,0.396,9195.01
NM_138731,-0.8,0.116,1635.36
NR_024430,8.86,0.00236,9182.92
NR_027180,4.38,0.309,1501.2
NR_001458,7.17,0.143,914.89
NR_027349,1.5,0.106,331.53
NR_027350,1.62,0.0623,4063.62
NM_001104548,-3.95,0.0932,1313.71
NM_032895,1.03,0.294,2367.39
NM_001001870,2.82,0.06,2219.03
NR_027054,7.41,0.14,3930.53
NR_024373,1.92,0.0105,13322.03
NR_015395,2.58,0.00581,5208.8
NR_024344,-1.61,0.0256,6015.89
NR_024607,-0.85,0.532,2538.25
NR_026677,-3.17,0.0293,15826.41
NR_027148,1.9,0.393,2.54
NR_027033,1.58,0.221,3690.23
NM_024039,0.06,0.916,10295.32
NM_018944,0.22,0.682,11782.07
NM_018353,1.02,0.102,39705.47
NM_173481,-3.46,0.071,33263.52
NM_138798,0.78,0.0212,3292.53
NM_006722,1.35,0.0844,847.67
NM_198158,2.3,0.00214,397.49
NM_198178,2.79,0.0883,1125.7
NM_198159,4.68,0.133,10016.75
NM_000248,4.86,0.262,3057.45
NM_198177,4.87,0.294,5957.68
NM_031944,-0.15,0.943,3.26
NM_002417,0.0,0.997,135394.94
NM_001145966,2.07,0.146,105836.17
NM_018848,0.84,0.0762,699.04
NM_170784,0.86,0.163,27093.29
NM_020831,-0.79,0.144,9091.91
NM_014048,-1.96,0.0451,12059.16
NM_001145354,-1.04,0.0534,12504.8
NM_013255,0.54,0.281,15180.23
NR_024174,-0.83,0.0271,4713.03
NM_198973,-0.79,0.215,3368.06
NR_024176,-0.67,0.324,1421.72
NM_003684,-0.59,0.261,1422.45
NM_001135553,0.6,0.262,832.72
NM_199054,-1.37,0.127,102638.53
NM_017572,5.89,0.198,12259.18
NM_013446,-0.84,0.00749,69376.51
NM_001145125,-0.45,0.0753,9482.45
NM_014160,0.66,0.00121,34688.69
NM_005664,0.44,0.591,1909.01
NR_026640,-0.07,0.925,8.02
NM_017777,-1.34,0.019,5763.67
NM_173576,-3.78,0.365,3129.88
NM_005511,-0.84,0.152,191.37
NM_139202,-3.65,0.307,34.58
NM_015166,-2.75,0.239,26.59
NM_014730,-0.22,0.467,335485.73
NM_022443,-0.32,0.635,597.0
NM_001130157,-0.03,0.955,3862.25
NM_001130156,0.83,0.399,7335.85
NM_005439,-0.24,0.611,85682.55
NR_026581,-0.2,0.624,42997.87
NM_000249,0.21,0.677,14087.52
NM_001040108,-0.89,0.161,3065.64
NM_014381,-0.13,0.805,5210.85
NM_138569,1.79,0.231,1.51
NM_152649,1.31,0.491,5439.51
NM_001142497,1.46,0.488,3182.07
NM_005934,0.55,0.102,72544.14
NM_004641,-0.62,0.213,469.63
NM_001009569,-0.54,0.328,1821.68
NM_006818,1.57,0.221,18819.0
NM_004529,-0.68,0.295,6631.75
NM_001040001,-0.94,0.16,54401.14
NM_005936,-0.67,0.328,2999.88
NM_001040000,0.32,0.709,2668.27
NR_027906,-3.14,0.000525,1098.6
NM_005937,-1.17,0.111,112184.88
NM_002418,0.25,0.141,1.19
NM_001040109,0.27,0.141,1.2
NM_001507,-0.38,0.806,113.06
NM_001042467,-5.42,0.111,21072.52
NM_024101,-1.58,0.0724,17095.49
NM_022372,-0.36,0.191,759.61
NM_198204,-1.53,0.106,12080.67
NM_170607,-0.02,0.958,23417.22
NM_198205,0.86,0.0525,6105.64
NM_014938,-0.76,0.0806,47162.99
NM_032953,-5.17,0.00135,924.44
NM_032951,-5.15,0.00303,1325.3
NM_032952,-4.4,0.0274,1001.74
NM_032954,-4.01,0.00162,642.69
NM_012213,-1.74,0.00533,13068.07
NM_172250,-1.14,0.0316,3721.16
NM_052845,-1.57,0.096,12005.6
NM_015506,0.77,0.144,11891.64
NM_015702,0.33,0.193,44801.2
NM_012329,0.99,0.162,11435.5
NM_007288,5.44,0.238,1764.78
NM_007289,7.98,0.209,30319.3
NM_000902,9.68,0.254,30815.45
NM_007287,9.79,0.22,24649.33
NM_033467,-4.16,0.0543,1007.47
NM_173470,0.52,0.329,38581.44
NM_001145938,2.51,0.000232,78.57
NM_002421,9.31,0.319,27381.49
NM_002425,6.08,0.342,415.75
NM_005940,1.16,0.356,2366.89
NM_002426,5.77,0.181,54.46
NM_002427,0.08,0.927,36.03
NM_004995,8.53,0.0799,297179.28
NM_002428,-2.71,0.016,35252.49
NM_022564,-1.54,0.514,2073.16
NM_005941,-1.48,0.525,36817.25
NM_016155,-0.34,0.764,4717.78
NM_002429,1.53,0.398,2574.71
NM_001127891,2.9,0.00218,226.69
NM_004530,11.43,0.0357,67661.39
NM_004771,-3.14,0.347,8.84
NM_147191,-0.51,0.635,35.41
NR_002946,0.05,0.967,21.93
NM_006983,0.53,0.681,20.12
NM_006690,0.44,0.347,5812.77
NM_022468,-4.73,0.145,7602.26
NM_001032278,-4.02,0.247,395.79
NM_024302,-2.16,0.215,117.0
NM_002422,8.54,0.0691,372.31
NM_002423,1.13,0.532,23.16
NM_002424,2.46,0.153,5.51
NM_004994,0.18,0.908,323.64
NM_007351,0.02,0.992,3.35
NM_024756,-5.84,0.0173,3186.06
NM_022362,0.3,0.578,18354.57
NM_198468,0.59,0.282,20405.8
NM_002430,1.28,0.509,5272.4
NM_002431,0.24,0.453,17361.04
NM_032117,1.1,0.141,1978.7
NM_002432,-2.41,0.347,5.32
NM_018365,0.94,0.13,2299.12
NM_020310,0.26,0.568,23170.83
NM_005515,-3.94,0.00303,1097.05
NM_022151,-1.63,0.000257,42594.22
NM_018221,-0.26,0.41,33182.84
NM_173468,0.88,0.0787,16382.43
NM_053005,0.42,0.269,3083.34
NM_130807,0.73,0.0827,21215.28
NM_024761,-4.02,0.325,12196.59
NM_201403,-0.01,0.988,5203.66
NM_145279,0.49,0.602,1667.92
NM_015387,-0.5,0.102,40053.2
NM_199482,-0.23,0.253,464.7
NM_001100819,0.18,0.719,4349.11
NM_182935,-1.78,0.369,93.94
NR_003090,1.99,0.146,3.96
NM_017947,0.2,0.845,6396.56
NM_138928,0.69,0.529,762.96
NM_001075098,1.5,0.206,1319.58
NM_005942,2.2,0.0021,785.18
NM_005943,3.26,0.135,2101.4
NM_004531,-1.78,0.336,11862.56
NM_176806,-0.05,0.938,14521.47
NM_014484,-0.68,0.145,18802.87
NM_206810,-0.83,0.695,0.82
NM_001008229,-0.75,0.716,0.8
NM_002433,-0.71,0.728,0.78
NM_206811,-0.42,0.826,0.63
NM_206813,-0.21,0.91,0.55
NM_206812,0.04,0.983,0.81
NM_206814,0.15,0.928,1.01
NM_206809,0.2,0.901,1.08
NM_001008228,0.56,0.724,1.17
NM_058165,-1.58,0.39,14.75
NM_025098,-2.68,0.332,4.2
NM_178176,-1.21,0.292,65.54
NM_006302,0.12,0.67,25823.12
NM_001146158,0.68,0.342,3208.9
NM_014226,2.51,0.182,2835.02
NM_001142501,0.6,0.433,233.04
NM_032355,0.96,0.00763,8215.24
NM_014940,-0.79,0.0505,34040.59
NM_015026,-0.19,0.621,2903.54
NM_014429,-7.07,0.347,134.59
NM_014941,-0.05,0.905,16625.16
NR_026920,-0.81,0.0163,5454.51
NM_015358,0.13,0.632,19449.33
NM_024657,-1.06,0.274,25756.36
NM_001085354,-0.91,0.283,9461.48
NM_006791,0.08,0.781,68619.32
NM_206839,1.2,0.134,3762.32
NM_001142419,-0.93,0.0585,11498.26
NM_001142424,-0.29,0.739,4242.48
NM_001142427,-0.22,0.801,3738.65
NM_001142420,-0.05,0.944,7822.61
NM_001142426,0.04,0.926,18046.3
NM_001142432,0.1,0.889,7905.86
NM_001142423,0.12,0.864,2042.44
NM_001142431,0.12,0.836,5912.81
NM_012286,0.17,0.706,71162.34
NM_001142422,0.26,0.575,10346.33
NM_001142418,0.28,0.708,10501.53
NM_001142429,0.43,0.583,9380.8
NM_001142430,0.43,0.395,5626.46
NM_001142428,0.59,0.503,4746.23
NM_001142421,0.63,0.334,2262.11
NM_001142425,0.85,0.339,5920.82
NM_024848,-2.87,0.0149,826.06
NM_001145450,0.12,0.735,2381.21
NM_173855,-4.72,0.0517,277.64
NM_178832,-0.36,0.687,4636.37
NM_001098831,0.0,1.0,1676.16
NM_198469,-6.28,0.326,57.03
NM_019556,2.22,0.36,20211.1
NM_152581,0.2,0.596,9138.56
NM_001040097,-1.28,0.0117,499.2
NM_001040099,-0.6,0.391,678.12
NM_023948,-0.24,0.526,4682.47
NM_001040098,-0.17,0.582,131.47
NM_020963,-0.49,0.441,6604.68
NM_001130079,-0.02,0.957,17678.53
NM_001164105,0.05,0.347,0.97
NM_018995,0.14,0.347,0.91
NM_001164106,1.07,0.347,0.48
NM_015529,4.65,0.0556,3573.94
NM_016098,0.32,0.473,10364.49
NM_001143674,-1.03,0.515,391.21
NR_026550,-0.29,0.724,19007.69
NM_004870,0.26,0.575,22882.06
NR_024603,1.42,0.0928,3062.5
NM_003829,0.22,0.42,296.45
NM_001039396,-1.54,0.28,22.68
NM_001015054,-0.56,0.622,4792.5
NM_001015052,-0.33,0.49,17143.57
NM_002434,0.66,0.0304,687.07
NM_005791,0.15,0.492,18337.01
NM_005792,-1.14,0.138,26481.2
NM_017520,-0.31,0.516,12961.9
NM_022782,-0.25,0.627,5656.36
NM_002435,-0.48,0.451,13079.05
NM_005373,-0.87,0.00924,258.69
NM_138701,0.37,0.2,13560.57
NM_032868,-1.34,0.0507,1562.87
NM_001159846,-0.16,0.696,712.83
NM_000250,0.93,0.685,5.75
NM_002436,3.26,0.0807,7232.89
NM_005374,-2.21,0.232,2499.25
NR_003562,-1.54,0.0284,3751.5
NM_001932,-0.78,0.0166,752.46
NM_033066,4.8,0.321,285.22
NM_022474,0.17,0.668,33848.35
NM_016447,0.06,0.918,754.89
NM_173496,-4.69,0.0782,4949.17
NM_023075,-0.2,0.766,387.03
NM_001044370,-4.34,0.288,20.25
NM_001584,-8.99,0.0749,4634.3
NM_001145399,-4.95,0.0332,394.46
NM_201274,1.29,0.145,30970.72
NM_015134,3.27,0.208,24933.82
NM_021126,-0.1,0.923,1329.01
NM_001013436,0.22,0.692,16162.54
NM_001130517,0.27,0.76,1727.35
NR_024038,0.34,0.715,914.51
NM_002437,0.07,0.748,129.82
NM_001128423,-3.62,0.0954,1687.48
NM_173803,-3.58,0.0409,3223.64
NM_032683,0.51,0.335,8939.96
NM_000530,1.27,0.382,45.08
NM_003953,0.5,0.291,93502.45
NM_024569,1.26,0.0271,40558.5
NM_001146191,1.76,0.151,4793.34
NM_005797,-5.92,0.00842,10527.78
NM_144765,-5.7,0.0734,1307.22
NM_198275,-5.8,0.00305,1747.41
NM_001531,-1.43,0.114,2130.09
NM_206898,-0.13,0.915,66.62
NM_178817,1.07,0.4,262.61
NM_138409,2.15,0.132,384.63
NM_001085049,2.06,0.0275,11304.33
